Asal,Tujuan,ID KANTOR Tujuan,KPRK Tujuan,Tarif Kartu Pos (Rp)
Batam,Watesyogya,55600,55600,23.000
Batam,Bantul,55700,55700,20.500
Batam,Wonosariyogya,55800,55800,23.000
Batam,Magelang,56100,56100,21.500
Batam,Bandongan,56151,56100,22.500
Batam,Temanggung,56200,56200,24.500
Batam,Wonosobo,56300,56300,24.500
Batam,Solo,57100,57100,20.500
Batam,Sragen,57200,57200,23.000
Batam,Boyolali,57300,57300,23.000
Batam,Klaten,57400,57400,23.000
Batam,Sukoharjo,57500,57500,23.000
Batam,Wonogiri,57600,57600,23.000
Batam,Karanganyar,57700,57700,23.000
Batam,Purwodadigrobogan,58100,58100,23.000
Batam,Blora,58200,58200,29.000
Batam,Pati,59100,59100,23.000
Batam,Bulu,59255,59100,24.500
Batam,Kudus,59300,59300,23.000
Batam,Jepara,59400,59400,23.000
Batam,Karimunjawa,59455,59400,29.500
Batam,Demak,59500,50000,22.000
Batam,Surabaya,60000,60000,20.000
Batam,Surabayaselatan,60300,60300,22.000
Batam,Gresik,61100,61100,22.000
Batam,Bawean,61181,61100,28.000
Batam,Sidoarjo,61200,61200,22.000
Batam,Mojokerto,61300,61300,25.500
Batam,Bangsal,61381,61300,27.000
Batam,Jombang,61400,61400,29.500
Batam,Bojonegoro,62100,62100,23.000
Batam,Lamongan,62200,62200,25.000
Batam,Tuban,62300,62300,25.000
Batam,Madiun,63100,63100,25.500
Batam,Balerejo,63152,63100,27.000
Batam,Ngawi,63200,63200,29.500
Batam,Magetan,63300,63300,29.500
Batam,Ponorogo,63400,63400,29.500
Batam,Arjosari,63581,63400,32.500
Batam,Kediri,64100,64100,25.500
Batam,Badas,64221,64100,27.000
Batam,Nganjuk,64400,64400,29.500
Batam,Malang,65100,65100,23.000
Batam,Ampelgading,65183,65100,24.000
Batam,Batu,65311,65100,24.000
Batam,Blitar,66100,66100,29.500
Batam,Tulungagung,66200,66200,25.000
Batam,Dongko,66363,66200,26.500
Batam,Pasuruan,67100,67100,27.000
Batam,Bangil,67153,67100,28.000
Batam,Probolinggo,67200,67200,25.500
Batam,Bantaran,67261,67200,27.000
Batam,Lumajang,67300,67300,29.500
Batam,Jember,68100,68100,25.500
Batam,Bondowoso,68200,68200,29.500
Batam,Situbondo,68300,68300,29.500
Batam,Banyuwangi,68400,68400,29.500
Batam,Bangkalan,69100,69100,25.000
Batam,Banyuates,69263,69100,26.500
Batam,Pamekasan,69300,69300,25.000
Batam,Sumenep,69400,69400,31.500
Batam,Giligenting,69482,69400,37.500
Batam,Gayam,69483,69400,37.500
Batam,Raas,69485B1,69400,37.500
Batam,Arjasa,69491,69400,37.500
Batam,Masalembu,69492,69400,37.500
Batam,Sapeken,69493,69400,37.500
Batam,Banjarmasin,70000,70000,27.000
Batam,Anjirmuara,70564,70000,30.500
Batam,Aluhaluh,70655,70700,28.000
